CANMORE ID,SITE NUMBER,SITE NAME,SITE TYPE,SITE EASTING,k,COUNCIL,COUNTY,PARISH,NGR,URL
273202,HY40NW 33,New Scapa Road,Mound(S) (Period Unassigned)(Possible),344700,1009000,ORKNEY ISLANDS,ORKNEY,KIRKWALL AND ST OLA,HY 447 090,http://canmore.org.uk/site/273202
269582,HY41SE 167,Seatter,"Pillbox (20th Century), Road Block (20th Century)(Possible)",346893,1011414,ORKNEY ISLANDS,ORKNEY,KIRKWALL AND ST OLA,HY 46893 11414,http://canmore.org.uk/site/269582
283774,HY41SE 170,Cancelled,No Class,,,ORKNEY ISLANDS,ORKNEY,KIRKWALL AND ST OLA,HY  ,http://canmore.org.uk/site/283774
282772,HY41SW 279,Ramberry,"Funerary Site (Prehistoric), House (Period Unassigned)",342400,1013830,ORKNEY ISLANDS,ORKNEY,KIRKWALL AND ST OLA,HY 4240 1383,http://canmore.org.uk/site/282772
293581,HY41SW 281,"Kirkwall, Muddisdale",No Class (Event),343500,1011000,ORKNEY ISLANDS,ORKNEY,KIRKWALL AND ST OLA,HY 435 110,http://canmore.org.uk/site/293581
296148,HY41SW 283,Quanterness,Human Remains(S) (Period Unassigned),341800,1013000,ORKNEY ISLANDS,ORKNEY,KIRKWALL AND ST OLA,HY 418 130,http://canmore.org.uk/site/296148
306785,HY41SW 290,Wideford Hill,Enclosure(S) (Period Unassigned),342160,1011910,ORKNEY ISLANDS,ORKNEY,KIRKWALL AND ST OLA,HY 4216 1191,http://canmore.org.uk/site/306785
306017,HY41SE 172,Head Of Work,Waterworks (Period Unassigned),347500,1013800,ORKNEY ISLANDS,ORKNEY,KIRKWALL AND ST OLA,HY 475 138,http://canmore.org.uk/site/306017
306645,HY41SW 289,Hatson,Settlement (Prehistoric),343600,1012800,ORKNEY ISLANDS,ORKNEY,KIRKWALL AND ST OLA,HY 4360 1280,http://canmore.org.uk/site/306645
305584,HY40NW 34,Lower Scapa,Coastal Defence Site (20th Century),343612,1008800,ORKNEY ISLANDS,ORKNEY,KIRKWALL AND ST OLA,HY 43612 08800,http://canmore.org.uk/site/305584
305588,HY41SW 288,Wideford Hill,Cist (Period Unassigned),342178,1011289,ORKNEY ISLANDS,ORKNEY,KIRKWALL AND ST OLA,HY 42178 11289,http://canmore.org.uk/site/305588
307376,HY41SE 175,Bay Of Meil,Fish Farm (20th Century),348450,1012350,ORKNEY ISLANDS,ORKNEY,KIRKWALL AND ST OLA,HY 4845 1235,http://canmore.org.uk/site/307376
311262,HY41SW 298,Hatston Slip,Handaxe (Flint)(Palaeolithic),344416,1011843,ORKNEY ISLANDS,ORKNEY,KIRKWALL AND ST OLA,HY 44416 11843,http://canmore.org.uk/site/311262
307051,HY41SW 292,Caldale,Field Boundary(S) (Period Unassigned)(Possible),340953,1010648,ORKNEY ISLANDS,ORKNEY,KIRKWALL AND ST OLA,HY 40953 10648,http://canmore.org.uk/site/307051
307064,HY41SE 174,Carness,Barrow Cemetery (Prehistoric),346436,1014213,ORKNEY ISLANDS,ORKNEY,KIRKWALL AND ST OLA,HY 46436 14213,http://canmore.org.uk/site/307064
307023,HY41SW 291,"Kirkwall, Broad Street","Broch (Iron Age)(Possible), Midden (Period Unassigned), Settlement (Period Unassigned)",344868,1010841,ORKNEY ISLANDS,ORKNEY,KIRKWALL AND ST OLA,HY 44868 10841,http://canmore.org.uk/site/307023
310798,HY40NW 35,Gaitnip,Rectilinear Enclosure (Period Unassigned),344921,1006639,ORKNEY ISLANDS,ORKNEY,KIRKWALL AND ST OLA,HY 44921 06639,http://canmore.org.uk/site/310798
314630,HY41SE 176,Head Of Holland,Archaeological Feature (Period Unassigned),347950,1011600,ORKNEY ISLANDS,ORKNEY,KIRKWALL AND ST OLA,HY 4795 1160,http://canmore.org.uk/site/314630
331423,HY41SE 177,Carness Battery,No Class (Event),346670,1014500,ORKNEY ISLANDS,ORKNEY,KIRKWALL AND ST OLA,HY 46670 14500,http://canmore.org.uk/site/331423
331531,HY40NW 36,Tofts,Enclosure (Period Unassigned)(Possible),343830,1009520,ORKNEY ISLANDS,ORKNEY,KIRKWALL AND ST OLA,HY 4383 0952,http://canmore.org.uk/site/331531
345288,HY41SW 302,Sunnyside,Field Boundary (Period Unassigned),342160,1010810,ORKNEY ISLANDS,ORKNEY,KIRKWALL AND ST OLA,HY 4216 1081,http://canmore.org.uk/site/345288
340623,HY23SE 2,Inyama Hellia,Quarry (20th Century),329900,1030030,ORKNEY ISLANDS,ORKNEY,KIRKWALL AND ST OLA,HY 2990 3003,http://canmore.org.uk/site/340623
363387,HY41SW 321,"Kirkwall, Ayre Road, Grainbank",Culvert (19-20th Century),343862,1011519,ORKNEY ISLANDS,ORKNEY,KIRKWALL AND ST OLA,HY 43862 11519,http://canmore.org.uk/site/363387
354968,HY41SW 311,Saverock,Artefact Scatter,343193,1011896,ORKNEY ISLANDS,ORKNEY,KIRKWALL AND ST OLA,HY 43193 11896,http://canmore.org.uk/site/354968
362938,HY41SE 182,"Kirkwall, School Place",Rubbish Pit (Post Medieval),345037,1010906,ORKNEY ISLANDS,ORKNEY,KIRKWALL AND ST OLA,HY 45037 10906,http://canmore.org.uk/site/362938
361346,HY41SW 318,"Kirkwall, Albert Street, The Big Tree",Tree (Period Unknown),344938,1010995,ORKNEY ISLANDS,ORKNEY,KIRKWALL AND ST OLA,HY 44938 10995,http://canmore.org.uk/site/361346
362930,HY41SW 319,"Kirkwall, Watergate",Cobbled Road (17th Century),344935,1010812,ORKNEY ISLANDS,ORKNEY,KIRKWALL AND ST OLA,HY 44935 10812,http://canmore.org.uk/site/362930
362931,HY41SW 320,"Kirkwall, Watergate",Culvert (Post Medieval),344935,1010721,ORKNEY ISLANDS,ORKNEY,KIRKWALL AND ST OLA,HY 44935 10721,http://canmore.org.uk/site/362931
362932,HY41SE 181,"Kirkwall, School Place",Wall (Post Medieval),345119,1010794,ORKNEY ISLANDS,ORKNEY,KIRKWALL AND ST OLA,HY 45119 10794,http://canmore.org.uk/site/362932
351738,HY41SW 308,"Kirkwall, Grainbank",Rig And Furrow (Medieval),343841,1011221,ORKNEY ISLANDS,ORKNEY,KIRKWALL AND ST OLA,HY 43841 11221,http://canmore.org.uk/site/351738
351739,HY41SW 309,New Scapa Road,"Boundary Ditch(S) (Post Medieval), Buried Land Surface (Period Unassigned)(Possible), Field Drain(S) (Post Medieval), Settlement (Neolithic)",344566,1010048,ORKNEY ISLANDS,ORKNEY,KIRKWALL AND ST OLA,HY 44566 10048,http://canmore.org.uk/site/351739
352794,HY41SE 179,Bay Of Berstane,Pier,347183,1010621,ORKNEY ISLANDS,ORKNEY,KIRKWALL AND ST OLA,HY 47183 10621,http://canmore.org.uk/site/352794
352841,HY41SW 310,Smerquoy,Settlement (Neolithic),340390,1011400,ORKNEY ISLANDS,ORKNEY,KIRKWALL AND ST OLA,HY 4039 1140,http://canmore.org.uk/site/352841
361352,HY41SW 317,"Kirkwall, Peedie Sea","Boating Lake (20th Century), Lake (Period Unknown)",344553,1011046,ORKNEY ISLANDS,ORKNEY,KIRKWALL AND ST OLA,HY 44553 11046,http://canmore.org.uk/site/361352
